CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T
29,25,3481.004,3734.863,7215.867,3509.493,3791.229,7300.722,3577.655,3848.445,7426.1,3591.781,3823.326,7415.107,3508.375,3667.575,7175.95,19458.99,17975.286,37434.276,4509.195,3971.553,8480.748
29,26,923.324,994.571,1917.895,930.88,1009.581,1940.461,948.96,1024.817,1973.777,952.707,1018.128,1970.835,930.583,976.653,1907.236,5161.424,4786.709,9948.133,1196.047,1057.6,2253.647
29,27,577.579,619.295,1196.874,582.306,628.642,1210.948,593.616,638.129,1231.745,595.96,633.964,1229.924,582.121,608.138,1190.259,3228.696,2980.567,6209.263,748.18,658.542,1406.722
29,28,1117.505,1157.733,2275.238,1126.651,1175.206,2301.857,1148.533,1192.942,2341.475,1153.068,1185.156,2338.224,1126.292,1136.876,2263.168,6246.913,5571.985,11818.898,1447.585,1231.104,2678.689
29,29,597.238,599.895,1197.133,602.126,608.948,1211.074,613.82,618.138,1231.958,616.244,614.103,1230.347,601.934,589.087,1191.021,3338.59,2887.195,6225.785,773.646,637.912,1411.558
29,30,676.875,731.851,1408.726,682.415,742.896,1425.311,695.668,754.108,1449.776,698.415,749.185,1447.6,682.197,718.666,1400.863,3783.764,3522.279,7306.043,876.805,778.23,1655.035
29,31,1498.458,1582.383,3080.841,1510.721,1606.264,3116.985,1540.063,1630.505,3170.568,1546.144,1619.862,3166.006,1510.24,1553.874,3064.114,8376.456,7615.75,15992.206,1941.06,1682.663,3623.723
29,32,623.6,644.581,1268.181,628.704,654.308,1283.012,640.914,664.183,1305.097,643.445,659.848,1303.293,628.503,632.967,1261.47,3485.957,3102.26,6588.217,807.794,685.429,1493.223
29,33,4581.557,4600.568,9182.125,4619.053,4669.999,9289.052,4708.765,4740.477,9449.242,4727.358,4709.536,9436.894,4617.581,4517.683,9135.264,25611.138,22141.784,47752.922,5934.821,4892.12,10826.941
29,34,2006.915,2128.356,4135.271,2023.339,2160.477,4183.816,2062.636,2193.082,4255.718,2070.781,2178.768,4249.549,2022.694,2090.011,4112.705,11218.752,10243.431,21462.183,2599.7,2263.237,4862.937
