Anio,CVE_ENT,CVE_MUN,Pob_PInf_F,Pob_PInf_M,Pob_PInf_T,Pob_Inf_F,Pob_Inf_M,Pob_Inf_T,Pob_Pub_F,Pob_Pub_M,Pob_Pub_T,Pob_Ado_F,Pob_Ado_M,Pob_Ado_T,Pob_Juv_F,Pob_Juv_M,Pob_Juv_T,Pob_Adu_F,Pob_Adu_M,Pob_Adu_T,Pob_Vej_F,Pob_Vej_M,Pob_Vej_T,Poblacion
2003,21,181,346.647,357.646,704.293,340.814,350.571,691.385,333.174,337.399,670.573,312.065,302.762,614.827,279.45,250.009,529.459,1160.701,1025.914,2186.615,250.159,203.506,453.665,5850.817
2003,29,001,536.097,554.592,1090.689,529.257,548.729,1077.986,520.516,534.573,1055.089,498.481,493.228,991.709,460.604,421.527,882.131,1892.836,1721.644,3614.48,369.325,323.89,693.215,9405.299
2003,29,002,678.082,701.475,1379.557,669.431,694.059,1363.49,658.375,676.155,1334.53,630.503,623.858,1254.361,582.595,533.168,1115.763,2394.152,2177.619,4571.771,467.14,409.673,876.813,11896.285
2003,29,003,306.067,316.626,622.693,302.162,313.279,615.441,297.172,305.197,602.369,284.591,281.592,566.183,262.967,240.657,503.624,1080.652,982.917,2063.569,210.853,184.915,395.768,5369.647
2003,29,005,3819.355,3951.116,7770.471,3770.623,3909.346,7679.969,3708.351,3808.497,7516.848,3551.361,3513.934,7065.295,3281.515,3003.111,6284.626,13485.259,12265.621,25750.88,2631.203,2307.516,4938.719,67006.808
2003,29,009,264.738,273.872,538.61,261.36,270.976,532.336,257.044,263.985,521.029,246.162,243.568,489.73,227.458,208.16,435.618,934.729,850.189,1784.918,182.382,159.945,342.327,4644.568
2003,29,010,3300.597,3414.461,6715.058,3258.484,3378.365,6636.849,3204.67,3291.214,6495.884,3069.003,3036.659,6105.662,2835.809,2595.218,5431.027,11653.646,10599.662,22253.308,2273.824,1994.101,4267.925,57905.713
2003,29,011,212.14,219.458,431.598,209.433,217.138,426.571,205.974,211.537,417.511,197.254,195.176,392.43,182.266,166.803,349.069,749.015,681.274,1430.289,146.145,128.167,274.312,3721.78
2003,29,012,413.801,428.076,841.877,408.52,423.55,832.07,401.774,412.624,814.398,384.765,380.71,765.475,355.529,325.366,680.895,1461.033,1328.894,2789.927,285.072,250.003,535.075,7259.717
2003,29,014,698.665,722.767,1421.432,689.75,715.127,1404.877,678.359,696.679,1375.038,649.642,642.795,1292.437,600.279,549.351,1149.63,2466.825,2243.719,4710.544,481.319,422.108,903.427,12257.385
2003,29,015,1781.778,1843.246,3625.024,1759.043,1823.759,3582.802,1729.993,1776.712,3506.705,1656.755,1639.294,3296.049,1530.869,1400.989,2931.858,6291.044,5722.066,12013.11,1227.489,1076.486,2303.975,31259.523
2003,29,017,509.695,527.28,1036.975,503.193,521.706,1024.899,494.882,508.247,1003.129,473.932,468.937,942.869,437.921,400.768,838.689,1799.618,1636.858,3436.476,351.136,307.94,659.076,8942.113
2003,29,018,1784.764,1846.335,3631.099,1761.991,1826.816,3588.807,1732.892,1779.69,3512.582,1659.532,1642.042,3301.574,1533.434,1403.337,2936.771,6301.588,5731.658,12033.246,1229.547,1078.289,2307.836,31311.915
2003,29,019,984.889,1018.865,2003.754,972.322,1008.094,1980.416,956.264,982.088,1938.352,915.781,906.13,1821.911,846.197,774.405,1620.602,3477.413,3162.907,6640.32,678.502,595.034,1273.536,17278.891
2003,29,022,296.04,306.254,602.294,292.263,303.016,595.279,287.437,295.199,582.636,275.268,272.367,547.635,254.352,232.773,487.125,1045.251,950.716,1995.967,203.946,178.857,382.803,5193.739
2003,29,023,1204.377,1245.925,2450.302,1189.01,1232.754,2421.764,1169.373,1200.953,2370.326,1119.869,1108.067,2227.936,1034.777,946.986,1981.763,4252.376,3867.781,8120.157,829.711,727.641,1557.352,21129.6
2003,29,024,1282.713,1326.965,2609.678,1266.347,1312.936,2579.283,1245.433,1279.067,2524.5,1192.709,1180.139,2372.848,1102.082,1008.581,2110.663,4528.964,4119.355,8648.319,883.678,774.969,1658.647,22503.938
2003,29,025,3585.568,3709.264,7294.832,3539.819,3670.051,7209.87,3481.359,3575.375,7056.734,3333.979,3298.842,6632.821,3080.65,2819.288,5899.938,12659.813,11514.83,24174.643,2470.144,2166.27,4636.414,62905.252
2003,29,026,944.693,977.283,1921.976,932.64,966.952,1899.592,917.237,942.008,1859.245,878.407,869.149,1747.556,811.662,742.801,1554.463,3335.493,3033.824,6369.317,650.811,570.749,1221.56,16573.709
2003,29,027,592.963,613.419,1206.382,585.398,606.935,1192.333,575.73,591.278,1167.008,551.357,545.546,1096.903,509.463,466.24,975.703,2093.617,1904.264,3997.881,408.5,358.247,766.747,10402.957
2003,29,028,1127.49,1166.387,2293.877,1113.104,1154.056,2267.16,1094.721,1124.285,2219.006,1048.377,1037.329,2085.706,968.718,886.531,1855.249,3980.907,3620.864,7601.771,776.743,681.188,1457.931,19780.7
2003,29,029,589.19,609.516,1198.706,581.672,603.072,1184.744,572.065,587.515,1159.58,547.848,542.074,1089.922,506.22,463.272,969.492,2080.291,1892.145,3972.436,405.9,355.967,761.867,10336.747
2003,29,031,1520.775,1573.239,3094.014,1501.371,1556.608,3057.979,1476.576,1516.452,2993.028,1414.066,1399.164,2813.23,1306.62,1195.767,2502.387,5369.506,4883.876,10253.382,1047.682,918.797,1966.479,26680.499
